266; 4;22; 3; 1;15;23; 1; 9;17;
343; 2;24; 1; 3;12;31; 8;16;24;
344;10;18; 2; 9;17;30; 4;15;24;
345; 3;16; 1; 2;18;26; 2;11;19;
267; 5;23; 4; 2;10;29; 2;10;18;
347; 1;19; 2; 4;22;30; 5;12;23;
349; 1;15; 4; 1;19;31; 4;12;22;
348; 8;23; 4; 8;16;25; 3;16;24;
350; 9;17; 3; 5;15;24; 1;15;23;
351; 3;17; 4; 8;16;25; 1; 9;19;
355;11;23; 1; 2;10;29; 2;10;18;
352; 9;18; 4; 2;18;26; 8;16;24;
438; 2;15; 3; 9;18;31; 2;15;23;
353; 4;24; 1; 3;17;29; 5;15;23;
439;12;23; 3; 5;15;26; 3;11;22;
293; 5;22; 1; 4;23;31; 5;16;24;
361; 5;22; 3; 4;15;23; 1; 9;17;
442; 8;16; 4; 3;12;24; 3;12;22;
360; 8;16; 2; 1;12;22; 1;11;19;
441; 1;19; 2; 1;19;30; 4;12;24;
429; 1;19; 2; 5;19;30; 4;12;24;
